SPECIES,LATITUDE,LONGITUDE
KANGAROO,-35.28014798,149.1941063
KANGAROO,-35.28005064,149.1454239
KANGAROO,-35.42429858,149.0679538
KANGAROO,-35.42416676,149.068977
KANGAROO,-35.34328695,149.1089384
KANGAROO,-35.21338456,149.1817358
KANGAROO,-35.38136516,149.0939525
KANGAROO,-35.35366843,149.0962365
KANGAROO,-35.39665087,149.1194997
KANGAROO,-35.44921297,149.0494991
KANGAROO,-35.20761815,149.1927663
KANGAROO,-35.21952585,149.0988348
KANGAROO,-35.38084643,149.0937312
KANGAROO,-35.27134307,149.1464045
KANGAROO,-35.18637792,149.0875265
KANGAROO,-35.15247083,149.1163591
KANGAROO,-35.28456758,149.0872415
WALLABY,-35.16847469,149.1653005
KANGAROO,-35.23409092,149.0879162
KANGAROO,-35.31806799,149.1467815
KANGAROO,-35.28670893,149.1929457
KANGAROO,-35.22401667,149.1963849
KANGAROO,-35.32668491,149.3718726
KANGAROO,-35.41067408,149.1220939
KANGAROO,-35.44530254,149.1046503
KANGAROO,-35.44684824,149.1105007
KANGAROO,-35.44536835,149.0991119
KANGAROO,-35.44223853,149.120905
KANGAROO,-35.15608231,149.1184194
KANGAROO,-35.1536283,149.1539036
KANGAROO,-35.38107692,149.1780117
KANGAROO,-35.25034913,149.1555851
KANGAROO,-35.26513488,149.147955
KANGAROO,-35.412562,149.0613892
KANGAROO,-35.31914974,149.1126956
KANGAROO,-35.27288424,149.1425544
KANGAROO,-35.41191071,149.0615353
KANGAROO,-35.40347732,149.0620864
KANGAROO,-35.33651542,149.1217577
KANGAROO,-35.15912749,149.1513036
KANGAROO,-35.45579515,149.0781222
KANGAROO,-35.3270162,149.2382424
KANGAROO,-35.15377359,149.1432304
KANGAROO,-35.29151723,149.1700763
KANGAROO,-35.37606677,149.0939405
KANGAROO,-35.26731909,149.1968479
KANGAROO,-35.27318316,149.1423143
KANGAROO,-35.40309616,149.0633115
KANGAROO,-35.23421272,149.0898893
KANGAROO,-35.33079234,149.1304903
KANGAROO,-35.33109672,149.0101726
KANGAROO,-35.3282759,149.0595771
KANGAROO,-35.35084873,149.135358
KANGAROO,-35.15213433,149.1445332
KANGAROO,-35.38087973,149.0783143
WALLAROO,-35.32791582,149.0171182
KANGAROO,-35.32205263,149.0639586
KANGAROO,-35.34452482,149.1377652
KANGAROO,-35.38439787,149.120066
KANGAROO,-35.3379575,149.1040149
KANGAROO,-35.29503387,149.0599172
KANGAROO,-35.3768114,149.1092204
KANGAROO,-35.43138667,149.0868421
KANGAROO,-35.44357842,149.0997279
KANGAROO,-35.26882462,149.1961227
KANGAROO,-35.23360317,149.1951917
KANGAROO,-35.23388475,149.0209751
KANGAROO,-35.25959353,149.093191
KANGAROO,-35.21685484,149.1942005
KANGAROO,-35.4058969,149.0637683
KANGAROO,-35.34396239,149.1516086
KANGAROO,-35.42655773,149.0737459
KANGAROO,-35.38482173,149.0949213
KANGAROO,-35.17442617,149.0626028
KANGAROO,-35.26889313,149.1429055
KANGAROO,-35.2969994,149.0005141
KANGAROO,-35.36318537,149.0818555
KANGAROO,-35.29616986,149.0026027
KANGAROO,-35.46546753,149.1040403
KANGAROO,-35.34778575,149.0719039
KANGAROO,-35.37178005,149.0981404
KANGAROO,-35.32730502,149.0019504
KANGAROO,-35.20297736,149.1326398
KANGAROO,-35.27401547,149.0759246
KANGAROO,-35.181616,149.0738882
KANGAROO,-35.31649263,149.073063
KANGAROO,-35.32143742,149.0577367
KANGAROO,-35.26131744,149.1359863
KANGAROO,-35.3563681,149.0754121
KANGAROO,-35.23785173,149.1662371
KANGAROO,-35.38643096,149.1423486
KANGAROO,-35.37032298,149.1306468
KANGAROO,-35.38455082,149.1165778
KANGAROO,-35.31363453,149.0626047
KANGAROO,-35.32714382,149.0474079
KANGAROO,-35.3762131,149.0929102
KANGAROO,-35.38130795,149.0434335
KANGAROO,-35.32609636,149.063793
KANGAROO,-35.27173331,149.0880698
WALLABY,-35.30953147,149.119693
KANGAROO,-35.3453166,149.1147134
KANGAROO,-35.2616626,149.0676142
KANGAROO,-35.15366311,149.1221014
KANGAROO,-35.25950103,149.0929824
KANGAROO,-35.43268298,149.0938616
KANGAROO,-35.41957724,149.0623411
KANGAROO,-35.31943012,149.1131186
KANGAROO,-35.40996087,149.0622666
KANGAROO,-35.23619702,148.9981083
KANGAROO,-35.3157203,149.077193
KANGAROO,-35.32569113,149.01224
KANGAROO,-35.21932555,149.1953507
KANGAROO,-35.28782082,149.1666725
KANGAROO,-35.28091966,149.1468038
KANGAROO,-35.27136884,149.0751896
KANGAROO,-35.31239002,149.120596
