lat,lng,road,species
-35.28005064,149.1454239,TRELOAR CRESCENT,EASTERN GREY KANGAROO
-35.42429858,149.06795380000003,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.42416676,149.068977,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.34328695,149.1089384,GARRAN PLACE,EASTERN GREY KANGAROO
-35.21338456,149.1817358,HORSE PARK DRIVE,EASTERN GREY KANGAROO
-35.38136516,149.0939525,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.35366843,149.0962365,AINSWORTH STREET,EASTERN GREY KANGAROO
-35.39665087,149.1194997,NICKLIN CRESCENT,EASTERN GREY KANGAROO
-35.44921297,149.0494991,POINT HUT ROAD,EASTERN GREY KANGAROO
-35.20761815,149.19276630000002,FEDERAL HIGHWAY,EASTERN GREY KANGAROO
-35.21952585,149.09883480000002,BALDWIN DRIVE,EASTERN GREY KANGAROO
-35.38084643,149.09373119999998,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.27134307,149.1464045,CHISHOLM STREET,EASTERN GREY KANGAROO
-35.18637792,149.0875265,,EASTERN GREY KANGAROO
-35.15247083,149.1163591,HORSE PARK DRIVE,EASTERN GREY KANGAROO
-35.28456758,149.0872415,LADY DENMAN DRIVE,EASTERN GREY KANGAROO
-35.16847469,149.1653005,,WALLABY
-35.23409092,149.08791619999997,GINNINDERRA DRIVE,EASTERN GREY KANGAROO
-35.31806799,149.1467815,CUNNINGHAM STREET,EASTERN GREY KANGAROO
-35.28670893,149.1929457,MAJURA ROAD,EASTERN GREY KANGAROO
-35.22401667,149.19638490000003,MAJURA PARKWAY,EASTERN GREY KANGAROO
-35.32668491,149.3718726,KINGS HIGHWAY,EASTERN GREY KANGAROO
-35.41067408,149.1220939,,EASTERN GREY KANGAROO
-35.44530254,149.1046503,FIDGE STREET,EASTERN GREY KANGAROO
-35.44684824,149.1105007,,EASTERN GREY KANGAROO
-35.44536835,149.0991119,HOLLWAY STREET,EASTERN GREY KANGAROO
-35.44223853,149.120905,LAWRENCE WACKETT CRESCENT,EASTERN GREY KANGAROO
-35.15608231,149.11841940000002,YIDAKI WAY,EASTERN GREY KANGAROO
-35.1536283,149.15390359999998,MULLIGANS FLAT ROAD,EASTERN GREY KANGAROO
-35.38107692,149.17801169999998,LANYON DRIVE,EASTERN GREY KANGAROO
-35.25034913,149.1555851,PHILLIP AVENUE,EASTERN GREY KANGAROO
-35.26513488,149.147955,FOVEAUX STREET,EASTERN GREY KANGAROO
-35.412562,149.0613892,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.31914974,149.1126956,STONEHAVEN CRESCENT,EASTERN GREY KANGAROO
-35.27288424,149.1425544,DONALDSON STREET,EASTERN GREY KANGAROO
-35.41191071,149.0615353,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.40347732,149.0620864,LEARMONTH DRIVE,EASTERN GREY KANGAROO
