lat,lng,road,species
-35.34585744,149.02215890000002,,WOMBAT
-35.24919713,149.1239905,GLOVER STREET,BRUSHTAIL POSSUM
-35.34018374,149.220885,OAKS ESTATE ROAD,OTHER
-35.29413815,149.1823975,MEDDHUNG ROAD,OTHER
-35.32994007,149.1533166,NIMBIN STREET,BRUSHTAIL POSSUM
-35.39386357,149.03710569999998,JAMES SCOTT CLOSE,BRUSHTAIL POSSUM
-35.44772964,149.065685,POINT HUT ROAD,WOMBAT
-35.40956423,149.05174219999998,,WOMBAT
-35.24972033,149.0554746,JARVIS PLACE,BRUSHTAIL POSSUM
-35.26434205,148.9983431,,OTHER
-35.43013352,149.0686214,,WOMBAT
-35.42765131,149.05608569999998,,WOMBAT
-35.2572186,149.0268116,WILLIAM HOVELL DRIVE,WOMBAT
-35.4524006,149.0872996,LEWIS LUXTON AVENUE,WOMBAT
-35.27614177,149.1337142,DONALDSON STREET,BRUSHTAIL POSSUM
-35.4072315,149.049244,,WOMBAT
-35.25255976,149.1592764,PHILLIP AVENUE,BRUSHTAIL POSSUM
-35.262198299999994,149.03164730000003,WILLIAM HOVELL DRIVE,WOMBAT
-35.39576165,149.14336609999998,MUGGA LANE,OTHER
-35.34249383,149.106662,GARRAN PLACE,BRUSHTAIL POSSUM
-35.55411157,149.12910219999998,MONARO HIGHWAY,WOMBAT
-35.34668715,149.1004888,BATESON ROAD,BRUSHTAIL POSSUM
-35.18773374,149.08192,CURRAN DRIVE,OTHER
-35.39606922,149.0544792,LEARMONTH DRIVE,WOMBAT
-35.38891753,149.03102019999997,KAMBAH POOL ROAD,WOMBAT
-35.30686329,149.062153,TUGGERANONG PARKWAY,WOMBAT
-35.42427028,149.1173408,MOFFLIN STREET,BRUSHTAIL POSSUM
-35.43312042,149.0941273,RUSHBROOK CIRCUIT,BRUSHTAIL POSSUM
-35.25846187,149.0276283,WILLIAM HOVELL DRIVE,WOMBAT
-35.25297941,149.03611730000003,AMBALINDUM STREET,BRUSHTAIL POSSUM
-35.2677296,149.11427759999998,HOBBS STREET,BRUSHTAIL POSSUM
-35.29434982,149.1267464,FLYNN DRIVE,BRUSHTAIL POSSUM
-35.37825644,149.1700129,MONARO HIGHWAY,WOMBAT
-35.397147100000005,149.0725313,ATHLLON DRIVE,OTHER
-35.2428931,149.1270462,MOUAT STREET,OTHER
-35.250648299999995,149.02750659999998,WILLIAM HOVELL DRIVE,OTHER
-35.45715448,149.0771923,POINT HUT ROAD,WOMBAT
-35.32454375,149.0874603,YARRA GLEN,WOMBAT
-35.25732521,149.1434741,SHERBROOKE STREET,
-35.25734274,149.1434741,SHERBROOKE STREET,BRUSHTAIL POSSUM
-35.379572499999995,149.1807221,LANYON DRIVE,WOMBAT
-35.32571448,149.2236823,PIALLIGO AVENUE,WOMBAT
-35.20751507,149.1940079,FEDERAL HIGHWAY,OTHER
-35.25884882,149.1423921,TYSON STREET,BRUSHTAIL POSSUM
-35.26926227,149.1349645,HENTY STREET,BRUSHTAIL POSSUM
-35.24252195,149.0396585,JINKA STREET,BRUSHTAIL POSSUM
-35.27670974,149.1167392,LINNAEUS WAY,RINGTAIL POSSUM
-35.23074842,149.1183905,GUNGAHLIN DRIVE,OTHER
-35.19882061,149.0115726,GROVE PLACE,OTHER
-35.20902889,149.0620523,MEAGHER PLACE,BRUSHTAIL POSSUM
-35.3250886,149.0772291,AYERS STREET,BRUSHTAIL POSSUM
-35.32120813,149.1531858,MILDURA STREET,BRUSHTAIL POSSUM
-35.45156942,148.99674040000002,TIDBINBILLA ROAD,WOMBAT
-35.30564863,149.06243700000002,TUGGERANONG PARKWAY,WOMBAT
-35.3388804,149.184147,TOM PRICE STREET,OTHER
-35.4778869,149.0903242,THARWA DRIVE,WOMBAT
-35.23007586,149.0031531,BRITTEN-JONES DRIVE,WOMBAT
-35.2784179,148.99342919999998,,OTHER
-35.34062065,149.1035974,STONE PLACE,BRUSHTAIL POSSUM
-35.45686398,149.0771815,POINT HUT ROAD,WOMBAT
-35.24434857,148.9507635,URIARRA ROAD,OTHER
-35.37808092,149.0723393,SULWOOD DRIVE,OTHER
-35.29876092,149.0704474,LADY DENMAN DRIVE,BRUSHTAIL POSSUM
-35.45620949,149.0776969,POINT HUT ROAD,WOMBAT
-35.30992283,149.1134487,ADELAIDE AVENUE,BRUSHTAIL POSSUM
-35.38038164,149.09389240000002,ATHLLON DRIVE,OTHER
-35.26085737,149.0301782,WILLIAM HOVELL DRIVE,WOMBAT
-35.34401977,149.02922030000002,TULLAROOP STREET,OTHER
-35.25246923,149.13970830000002,DAVENPORT STREET,BRUSHTAIL POSSUM
-35.44267776,149.1201667,THARWA DRIVE,WOMBAT
-35.4147943,149.1452851,MONARO HIGHWAY,WOMBAT
-35.31438451,149.14277090000002,GILES STREET,BRUSHTAIL POSSUM
-35.23219242,149.1977661,MAJURA ROAD,OTHER
-35.47500364,148.91894519999997,TIDBINBILLA RESERVE ROAD,WOMBAT
-35.33951669,149.03657990000002,TANTANGARA STREET,BRUSHTAIL POSSUM
-35.25149533,149.1470395,RUSE STREET,BRUSHTAIL POSSUM
-35.43224253,149.0934819,JASPER CLOSE,BRUSHTAIL POSSUM
-35.42769673,149.0737789,MARY LEE STREET,WOMBAT
-35.39998883,149.08913930000003,GUTHRIDGE CRESCENT,BRUSHTAIL POSSUM
-35.283013200000006,148.9771462,URIARRA ROAD,WOMBAT
-35.42785511,149.073404,MARY LEE STREET,WOMBAT
-35.27738529,149.1409875,GOOREEN STREET,BRUSHTAIL POSSUM
-35.36584218,149.0880369,PARKIN STREET,BRUSHTAIL POSSUM
-35.45650268,149.0775502,POINT HUT ROAD,WOMBAT
-35.44035568,149.10574599999998,TATCHELL STREET,WOMBAT
-35.4253133,149.1256999,TURRIFF STREET,BRUSHTAIL POSSUM
-35.45380858,149.12845780000004,MONARO HIGHWAY,WOMBAT
-35.28746777,149.0396914,COPPINS CROSSING ROAD,WOMBAT
-35.27005296,149.1274451,MASSON STREET,BRUSHTAIL POSSUM
-35.25256802,149.04369119999998,MOROAK STREET,BRUSHTAIL POSSUM
-35.50955919,149.06938269999998,NAAS ROAD,WOMBAT
-35.50820818,149.0682845,,WOMBAT
-35.227016600000006,149.1201807,GUNGAHLIN DRIVE,OTHER
-35.20593579999999,149.0641947,BADDELEY CRESCENT,OTHER
-35.2553561,149.07941399999999,BANAGA PLACE,OTHER
-35.29970956,149.1324859,KING EDWARD TERRACE,BRUSHTAIL POSSUM
-35.37548433,149.05689630000003,SULWOOD DRIVE,OTHER
-35.28407757,149.089103,GLENLOCH INTERCHANGE,WOMBAT
-35.50793043,149.06629109999997,UNION STREET,WOMBAT
-35.26908147,149.1467645,EBDEN STREET,BRUSHTAIL POSSUM
-35.30755803,149.1672598,DAIRY ROAD,WOMBAT
-35.32597938,149.0232365,COTTER ROAD,WOMBAT
-35.45646748,148.91749019999997,,WOMBAT
-35.29407888,149.0929503,WESTON PARK ROAD,EASTERN GREY KANGAROO
-35.34555626,149.1385417,MUGGA LANE,EASTERN GREY KANGAROO
-35.4869152,149.1491767,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.31925152,149.08896430000001,YARRA GLEN,EASTERN GREY KANGAROO
-35.44096758,149.08661,ARMBRUSTER STREET,EASTERN GREY KANGAROO
-35.36970812,149.0821494,PARKHILL STREET,EASTERN GREY KANGAROO
-35.44508465,149.1137174,RODDA PLACE,EASTERN GREY KANGAROO
-35.33291857,149.109781,,EASTERN GREY KANGAROO
-35.3052349,149.0026983,,EASTERN GREY KANGAROO
-35.38482417,149.09469109999998,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.20036279,149.09941819999997,GUNDAROO DRIVE,EASTERN GREY KANGAROO
-35.22713915,149.1968549,MAJURA PARKWAY,EASTERN GREY KANGAROO
-35.36618434,149.1072966,YAMBA DRIVE,EASTERN GREY KANGAROO
-35.42114053,149.06342819999998,SOWARD WAY,EASTERN GREY KANGAROO
-35.38557217,149.09615469999997,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.35415863,149.133071,MUGGA LANE,WALLABY
-35.21747491,149.00569199999998,SOUTHERN CROSS DRIVE,EASTERN GREY KANGAROO
-35.23507,149.082165,PANTOWORA STREET,EASTERN GREY KANGAROO
-35.39059202,149.1040447,,EASTERN GREY KANGAROO
-35.38628475,149.13626609999997,MUGGA LANE,EASTERN GREY KANGAROO
-35.35458818,149.10056880000002,DUNOON STREET,EASTERN GREY KANGAROO
-35.28353475,149.15786830000002,DERRICK STREET,EASTERN GREY KANGAROO
-35.27418381,149.19516130000002,MAJURA ROAD,EASTERN GREY KANGAROO
-35.16309335,149.1212879,,EASTERN GREY KANGAROO
-35.40203595,149.10130800000002,STERNBERG CRESCENT,EASTERN GREY KANGAROO
-35.42516453,149.07333119999998,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.3729907,149.06606000000002,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.35357348,149.1760997,,EASTERN GREY KANGAROO
-35.40484977,149.1345761,EBSWORTH CLOSE,EASTERN GREY KANGAROO
-35.208516499999995,149.19192009999998,FEDERAL HIGHWAY,EASTERN GREY KANGAROO
-35.26208153,149.0948074,,EASTERN GREY KANGAROO
-35.29507266,149.1242695,FLYNN DRIVE,EASTERN GREY KANGAROO
-35.15627009,149.1502659,MULLIGANS FLAT ROAD,EASTERN GREY KANGAROO
-35.44489699,149.0927389,THARWA DRIVE,EASTERN GREY KANGAROO
-35.29917433,149.1770323,FAIRBAIRN AVENUE,EASTERN GREY KANGAROO
-35.22055344,149.17778700000002,FEDERAL HIGHWAY,EASTERN GREY KANGAROO
-35.18981272,149.1512634,FLEMINGTON ROAD,EASTERN GREY KANGAROO
-35.22987669,149.1667678,ANTILL STREET,EASTERN GREY KANGAROO
-35.23456498,149.166378,NEGUS CRESCENT,EASTERN GREY KANGAROO
-35.25987778,149.0961003,BELCONNEN WAY,EASTERN GREY KANGAROO
-35.38855108,149.10248380000002,,EASTERN GREY KANGAROO
-35.2629966,149.08167609999998,JUWIN STREET,OTHER
-35.16412866,149.05950149999998,,OTHER
-35.35608244,149.0595014,YAMBINA CRESCENT,BRUSHTAIL POSSUM
-35.35608542,149.059522,YAMBINA CRESCENT,BRUSHTAIL POSSUM
-35.26071335,149.117638,TODD STREET,BRUSHTAIL POSSUM
-35.27141626,149.097372,,RINGTAIL POSSUM
-35.45917892,149.0981926,HANDASYDE STREET,WOMBAT
-35.34990192,149.0599194,GARANYA STREET,BRUSHTAIL POSSUM
-35.25202803,149.10151409999997,GUNGAHLIN DRIVE,OTHER
-35.30955872,149.1270032,CANBERRA AVENUE,OTHER
-35.20745492,149.0809581,OWEN DIXON DRIVE,BRUSHTAIL POSSUM
-35.22096253,149.1038749,GEORGINA CRESCENT,BRUSHTAIL POSSUM
-35.46229606,148.91165149999998,TIDBINBILLA RESERVE ROAD,WOMBAT
-35.30442592,149.0632199,TUGGERANONG PARKWAY,OTHER
-35.36992893,149.0918284,ATHLLON DRIVE,BRUSHTAIL POSSUM
-35.27879735,149.136769,AINSLIE AVENUE,BRUSHTAIL POSSUM
-35.40987147,149.06232680000002,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.3964719,149.1545763,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.26226008,149.1495776,DUFFY STREET,EASTERN GREY KANGAROO
-35.33311522,149.0950356,WISDOM STREET,BRUSHTAIL POSSUM
-35.44918118,149.0693202,POINT HUT ROAD,WOMBAT
-35.17025152,149.1348267,KATHERINE AVENUE,BRUSHTAIL POSSUM
-35.32619672,149.02664140000002,EUCUMBENE DRIVE,WOMBAT
-35.27621528,149.0710023,WILLIAM HOVELL DRIVE,WOMBAT
-35.34594597,149.0265866,,WOMBAT
-35.20469863,149.0400801,TILLYARD DRIVE,BRUSHTAIL POSSUM
-35.25506807,149.1309219,DE BURGH STREET,OTHER
-35.25919365,149.1470475,EBDEN STREET,OTHER
-35.32348342,149.0640193,TUGGERANONG PARKWAY,WOMBAT
-35.46143642,149.0244746,TIDBINBILLA ROAD,WOMBAT
-35.20564415,149.14455690000003,ELLINOR WALKER STREET,OTHER
-35.22521612,149.1963987,MAJURA PARKWAY,
-35.28591051,149.18462480000002,MAJURA PARKWAY,OTHER
-35.43120407,149.07118,,WOMBAT
-35.29577687,149.1793409,MAJURA PARKWAY,OTHER
-35.25193805,149.1024969,GUNGAHLIN DRIVE,OTHER
-35.20803805,149.0269295,FLOREY DRIVE,WOMBAT
-35.44095542,149.08735269999997,ARMBRUSTER STREET,WOMBAT
-35.23838113,149.0298565,KINGSFORD SMITH DRIVE,WOMBAT
-35.25778385,148.9357979,URIARRA ROAD,WOMBAT
-35.23699933,149.1443283,PHILLIP AVENUE,OTHER
-35.58634324,149.1183623,,WOMBAT
-35.25309005,149.0364233,AMBALINDUM STREET,BRUSHTAIL POSSUM
-35.34022927,149.211319,ALUMINA STREET,OTHER
-35.50973316,149.15005730000001,MONARO HIGHWAY,WOMBAT
-35.45019424,149.0539123,POINT HUT ROAD,WOMBAT
-35.20047943,149.1658989,WELL STATION DRIVE,OTHER
-35.45206537,149.0855782,BENSTEAD PLACE,WOMBAT
-35.40216215,149.1479688,MONARO HIGHWAY,WOMBAT
-35.23684615,149.15182869999998,WADE STREET,OTHER
-35.32427992,149.040451,DUNPHY STREET,OTHER
-35.33870636,149.0798022,DELORAINE STREET,BRUSHTAIL POSSUM
-35.35054701,149.0761585,EGGLESTON CRESCENT,BRUSHTAIL POSSUM
-35.35328304,149.03638930000002,,BRUSHTAIL POSSUM
-35.33950295,149.03672319999998,KALLARA CLOSE,BRUSHTAIL POSSUM
-35.16999317,149.1504697,ERIC WRIGHT STREET,EASTERN GREY KANGAROO
-35.31506166,149.0648626,,WALLAROO
-35.32078579,149.1129635,GOWRIE DRIVE,EASTERN GREY KANGAROO
-35.27296578,149.19528540000002,MAJURA ROAD,EASTERN GREY KANGAROO
-35.21622075,149.1931023,MAJURA PARKWAY,EASTERN GREY KANGAROO
-35.31358194,149.0926868,COTTER ROAD,EASTERN GREY KANGAROO
-35.36461123,149.1675293,MONARO HIGHWAY,WALLAROO
-35.24388943,149.0565369,BELCONNEN WAY,EASTERN GREY KANGAROO
-35.35691085,149.1317126,MUGGA LANE,EASTERN GREY KANGAROO
-35.43674158,149.12584019999997,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.43359279999999,149.0876438,SOUTHWOOD RETREAT,EASTERN GREY KANGAROO
-35.27617167,149.04534750000002,COPPINS CROSSING ROAD,EASTERN GREY KANGAROO
-35.41455202,149.06141019999998,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.32378887,149.0974155,KENT STREET,EASTERN GREY KANGAROO
-35.32658428,149.06395600000002,TUGGERANONG PARKWAY,EASTERN GREY KANGAROO
-35.39123292,149.1084748,ERINDALE DRIVE,EASTERN GREY KANGAROO
-35.35321712,149.14603200000002,NARRABUNDAH LANE,EASTERN GREY KANGAROO
-35.3236576,149.0932033,DENISON STREET,EASTERN GREY KANGAROO
-35.25946691,149.09287759999998,BELCONNEN WAY,EASTERN GREY KANGAROO
-35.30268373,149.1796857,PIALLIGO AVENUE,EASTERN GREY KANGAROO
-35.30210447,149.1503372,MORSHEAD DRIVE,EASTERN GREY KANGAROO
-35.30354258,149.0328931,JOHN GORTON DRIVE,EASTERN GREY KANGAROO
-35.25060632,149.0760824,EASTERN VALLEY WAY,EASTERN GREY KANGAROO
-35.46132038,149.1013694,TOM ROBERTS AVENUE,EASTERN GREY KANGAROO
-35.44379875,149.1019369,PURNELL PLACE,EASTERN GREY KANGAROO
-35.43288407,149.1267395,DEAMER CRESCENT,EASTERN GREY KANGAROO
-35.43346469,149.12649950000002,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.32847067,149.0948873,KENT STREET,EASTERN GREY KANGAROO
-35.3271822,149.0164934,MOUNT STROMLO ROAD,EASTERN GREY KANGAROO
-35.25182821,149.0824164,BELCONNEN WAY,EASTERN GREY KANGAROO
-35.20561823,149.13233799999998,WELL STATION DRIVE,EASTERN GREY KANGAROO
-35.22771521,149.1960119,MAJURA PARKWAY,EASTERN GREY KANGAROO
-35.22224159,149.1735401,FEDERAL HIGHWAY,EASTERN GREY KANGAROO
-35.18783025,149.0825579,CURRAN DRIVE,EASTERN GREY KANGAROO
-35.44345935,149.1062133,MCBRIDE PLACE,EASTERN GREY KANGAROO
-35.38309986,149.1125712,WAGGA STREET,EASTERN GREY KANGAROO
-35.15700128,149.15094109999998,MULLIGANS FLAT ROAD,EASTERN GREY KANGAROO
-35.27535915,149.0758385,BINDUBI STREET,EASTERN GREY KANGAROO
-35.21645142,149.19335800000002,HECTOR MCINTOSH GROVE,EASTERN GREY KANGAROO
-35.37484269,149.0683418,SULWOOD DRIVE,WALLAROO
-35.32422928,149.1093543,RED HILL DRIVE,EASTERN GREY KANGAROO
-35.54379792,149.1339242,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.25401026,149.16633180000002,BRENNAN STREET,EASTERN GREY KANGAROO
-35.34560379,149.1114395,WALLANGARA STREET,EASTERN GREY KANGAROO
-35.41061763,149.13231430000002,FALKINER PLACE,EASTERN GREY KANGAROO
-35.45596435,149.1157472,CALLISTER CRESCENT,EASTERN GREY KANGAROO
-35.27884144,149.0822,GLENLOCH INTERCHANGE,EASTERN GREY KANGAROO
-35.40032605,149.06598490000002,STIEGLITZ CIRCUIT,EASTERN GREY KANGAROO
-35.34381953,149.20319650000002,CANBERRA AVENUE,EASTERN GREY KANGAROO
-35.39086537,149.11095419999998,ERINDALE DRIVE,EASTERN GREY KANGAROO
-35.44336385,149.0973888,THARWA DRIVE,EASTERN GREY KANGAROO
-35.44677077,149.1056591,FIDGE STREET,WALLAROO
-35.4096435,149.1445881,HOGBEN STREET,WOMBAT
-35.25525708,149.0921862,GUNGAHLIN DRIVE,OTHER
-35.27706067,149.0768412,BINDUBI STREET,EASTERN GREY KANGAROO
-35.27685647,149.0772332,BINDUBI STREET,EASTERN GREY KANGAROO
-35.2911326,149.0759342,TUGGERANONG PARKWAY,EASTERN GREY KANGAROO
-35.50001814,149.1506306,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.33195677,149.0267509,EUCUMBENE DRIVE,EASTERN GREY KANGAROO
-35.34260698,149.18868840000002,CANBERRA AVENUE,EASTERN GREY KANGAROO
-35.39770518,149.0739649,RAMSAY PLACE,EASTERN GREY KANGAROO
-35.26409166,149.14696659999998,EBDEN STREET,EASTERN GREY KANGAROO
-35.4103427,149.1444918,HOGBEN STREET,EASTERN GREY KANGAROO
-35.36320083,149.1667362,MONARO HIGHWAY,EASTERN GREY KANGAROO
-35.38873882,149.1006163,VALE PLACE,EASTERN GREY KANGAROO
-35.46193220000001,149.1061024,TEMPLESTOWE AVENUE,EASTERN GREY KANGAROO
-35.18730015,149.0827707,CURRAN DRIVE,EASTERN GREY KANGAROO
-35.384946500000005,149.0954899,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.39118288,149.102079,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.38535988,149.0962246,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.37715583,149.0933415,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.3142845,149.0948414,ADELAIDE AVENUE,EASTERN GREY KANGAROO
-35.31655827,149.0198375,,EASTERN GREY KANGAROO
-35.45507583,149.1167508,DYETT CIRCUIT,EASTERN GREY KANGAROO
-35.288705,149.168083,CRETE ROAD,EASTERN GREY KANGAROO
-35.29666534,149.175101,FAIRBAIRN AVENUE,
-35.220149,149.0992237,BALDWIN DRIVE,EASTERN GREY KANGAROO
-35.25412863,149.16083909999998,PHILLIP AVENUE,EASTERN GREY KANGAROO
-35.28036971,149.145901,LIMESTONE AVENUE,EASTERN GREY KANGAROO
-35.15372001,149.1438999,DJERRKURA STREET,EASTERN GREY KANGAROO
-35.313432399999996,149.03201430000001,OPPERMAN AVENUE,EASTERN GREY KANGAROO
-35.25855388,149.05942340000001,ELLIS PLACE,BRUSHTAIL POSSUM
-35.2232097,149.1273325,GUNGAHLIN DRIVE,OTHER
-35.40207001,149.0587208,,WOMBAT
-35.50838585,149.06939519999997,THARWA DRIVE,WOMBAT
-35.42570429999999,149.06732,PINE ISLAND ROAD,WOMBAT
-35.23193632,149.1520076,DODDS PLACE,BRUSHTAIL POSSUM
-35.2097717,149.1394575,VICARS STREET,BRUSHTAIL POSSUM
-35.30884249,149.083359,,OTHER
-35.26876146,149.12946530000002,FORBES STREET,BRUSHTAIL POSSUM
-35.2854796,149.12428400000002,PARKES WAY,OTHER
-35.22797223,149.1665916,ANTILL STREET,BRUSHTAIL POSSUM
-35.25784602,149.0910275,BELCONNEN WAY,BRUSHTAIL POSSUM
-35.26023155,149.08075319999998,WALU STREET,BRUSHTAIL POSSUM
-35.40568803,149.0634476,ATHLLON DRIVE,OTHER
-35.2872611,149.0815031,GLENLOCH INTERCHANGE,WOMBAT
-35.34045242,149.1512635,JERRABOMBERRA AVENUE,OTHER
-35.32048058,149.0252306,DAVE MCINNES ROAD,OTHER
-35.24865386,149.05459330000002,KILBY CRESCENT,BRUSHTAIL POSSUM
-35.3223501,149.19172619999998,,EASTERN GREY KANGAROO
-35.26938362,149.08786030000002,CASWELL DRIVE,OTHER
-35.32214847,149.0537998,KIRKPATRICK STREET,EASTERN GREY KANGAROO
-35.18485128,149.07420430000002,KURINGA DRIVE,EASTERN GREY KANGAROO
-35.21708220000001,149.1831239,FEDERAL HIGHWAY,EASTERN GREY KANGAROO
-35.21334229,149.18921980000002,FEDERAL HIGHWAY,EASTERN GREY KANGAROO
-35.27949852,149.1488324,TRELOAR CRESCENT,EASTERN GREY KANGAROO
-35.30543839999999,149.12265490000001,CAPITAL CIRCLE,EASTERN GREY KANGAROO
-35.30963402,149.0617275,TUGGERANONG PARKWAY,EASTERN GREY KANGAROO
-35.22738817,149.1195073,GUNGAHLIN DRIVE,EASTERN GREY KANGAROO
-35.25423699,149.09379109999998,GUNGAHLIN DRIVE,WALLABY
-35.15342301,149.1432378,DJERRKURA STREET,EASTERN GREY KANGAROO
-35.28763045,149.1660762,FAIRBAIRN AVENUE,EASTERN GREY KANGAROO
-35.26961529,149.0430697,WILLIAM HOVELL DRIVE,EASTERN GREY KANGAROO
-35.44332639,149.1190701,BUILDER CRESCENT,EASTERN GREY KANGAROO
-35.39863066,149.1170457,NICKLIN CRESCENT,EASTERN GREY KANGAROO
-35.32895313,149.0511784,DIXON DRIVE,EASTERN GREY KANGAROO
-35.30383197,149.11394919999998,PERTH AVENUE,EASTERN GREY KANGAROO
-35.37819226,149.09319530000002,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.42307736,149.0683935,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.31891648,149.112763,STONEHAVEN CRESCENT,EASTERN GREY KANGAROO
-35.31936293,149.0096809,MOUNT STROMLO ROAD,EASTERN GREY KANGAROO
-35.25348732,149.15982830000002,PHILLIP AVENUE,EASTERN GREY KANGAROO
-35.15182472,149.1143774,HORSE PARK DRIVE,EASTERN GREY KANGAROO
-35.38433792,149.0832958,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.43231205,149.086267,HINGSTON CLOSE,EASTERN GREY KANGAROO
-35.41226847,149.0621525,ATHLLON DRIVE,EASTERN GREY KANGAROO
-35.38560637,149.0963056,SULWOOD DRIVE,EASTERN GREY KANGAROO
-35.39855799,149.1174462,NICKLIN CRESCENT,
-35.430949600000005,149.0801003,CONIGRAVE PLACE,EASTERN GREY KANGAROO
-35.2733049,149.08809209999998,CASWELL DRIVE,WALLAROO
-35.26944249,149.0518822,COPPINS CROSSING ROAD,EASTERN GREY KANGAROO
-35.27776663,149.07994430000002,GLENLOCH INTERCHANGE,EASTERN GREY KANGAROO
-35.27853983,149.08481980000002,GLENLOCH INTERCHANGE,EASTERN GREY KANGAROO
-35.22881838,149.0747389,DIDDAMS CLOSE,BRUSHTAIL POSSUM
-35.2645846,149.1219366,MACPHERSON STREET,BRUSHTAIL POSSUM
-35.18852832,149.15953090000002,ANCHORAGE STREET,OTHER
-35.27652805,149.08724730000003,CASWELL DRIVE,WOMBAT
-35.46008133,149.01863459999998,TIDBINBILLA ROAD,WOMBAT
-35.34015064,149.12242619999998,ENDEAVOUR STREET,EASTERN GREY KANGAROO
-35.32675585,149.1157441,RED HILL DRIVE,EASTERN GREY KANGAROO
-35.35438742,149.13319099999998,MUGGA LANE,EASTERN GREY KANGAROO
-35.19967152,149.0987447,,EASTERN GREY KANGAROO
-35.40890363,149.12798850000001,BAYLY PLACE,EASTERN GREY KANGAROO
-35.27216389,149.075596,BINDUBI STREET,EASTERN GREY KANGAROO
-35.34794388,149.0712022,TUGGERANONG PARKWAY,EASTERN GREY KANGAROO
-35.28014798,149.19410630000002,MAJURA ROAD,EASTERN GREY KANGAROO
