CREATED_DATE,SPECIES,ROAD_NAME,LATITUDE,LONGITUDE
01/02/2018 06:53:00 AM,WOMBAT,,-35.34585744,149.0221589
01/02/2018 09:39:00 PM,BRUSHTAIL POSSUM,GLOVER STREET,-35.24919713,149.1239905
01/09/2018 02:43:00 AM,OTHER,OAKS ESTATE ROAD,-35.34018374,149.220885
07/04/2017 08:30:00 AM,OTHER,MEDDHUNG ROAD,-35.29413815,149.1823975
07/04/2017 11:35:00 PM,BRUSHTAIL POSSUM,NIMBIN STREET,-35.32994007,149.1533166
07/07/2017 03:52:00 AM,BRUSHTAIL POSSUM,JAMES SCOTT CLOSE,-35.39386357,149.0371057
07/07/2017 07:38:00 AM,WOMBAT,POINT HUT ROAD,-35.44772964,149.065685
07/09/2017 04:05:00 AM,WOMBAT,,-35.40956423,149.0517422
07/09/2017 11:13:00 PM,BRUSHTAIL POSSUM,JARVIS PLACE,-35.24972033,149.0554746
07/11/2017 12:59:00 AM,OTHER,,-35.26434205,148.9983431
07/11/2017 05:10:00 AM,WOMBAT,,-35.43013352,149.0686214
07/14/2017 05:06:00 AM,WOMBAT,,-35.42765131,149.0560857
07/15/2017 02:13:00 PM,WOMBAT,WILLIAM HOVELL DRIVE,-35.2572186,149.0268116
07/16/2017 11:34:00 PM,WOMBAT,LEWIS LUXTON AVENUE,-35.4524006,149.0872996
07/19/2017 11:17:00 AM,BRUSHTAIL POSSUM,DONALDSON STREET,-35.27614177,149.1337142
07/20/2017 04:03:00 AM,WOMBAT,,-35.4072315,149.049244
07/21/2017 11:05:00 PM,BRUSHTAIL POSSUM,PHILLIP AVENUE,-35.25255976,149.1592764
07/22/2017 04:56:00 AM,WOMBAT,WILLIAM HOVELL DRIVE,-35.2621983,149.0316473
09/17/2017 01:17:00 AM,OTHER,MUGGA LANE,-35.39576165,149.1433661
09/18/2017 01:55:00 AM,BRUSHTAIL POSSUM,GARRAN PLACE,-35.34249383,149.106662
09/18/2017 10:07:00 AM,WOMBAT,MONARO HIGHWAY,-35.55411157,149.1291022
09/22/2017 03:26:00 AM,BRUSHTAIL POSSUM,BATESON ROAD,-35.34668715,149.1004888
09/22/2017 08:28:00 AM,OTHER,CURRAN DRIVE,-35.18773374,149.08192
09/22/2017 09:10:00 AM,WOMBAT,LEARMONTH DRIVE,-35.39606922,149.0544792
09/23/2017 04:01:00 AM,WOMBAT,KAMBAH POOL ROAD,-35.38891753,149.0310202
09/27/2017 12:35:00 AM,WOMBAT,TUGGERANONG PARKWAY,-35.30686329,149.062153
09/28/2017 01:00:00 AM,BRUSHTAIL POSSUM,MOFFLIN STREET,-35.42427028,149.1173408
10/01/2017 01:26:00 AM,BRUSHTAIL POSSUM,RUSHBROOK CIRCUIT,-35.43312042,149.0941273
10/15/2017 03:07:00 AM,WOMBAT,WILLIAM HOVELL DRIVE,-35.25846187,149.0276283
10/17/2017 09:08:00 AM,BRUSHTAIL POSSUM,AMBALINDUM STREET,-35.25297941,149.0361173
10/20/2017 11:11:00 PM,BRUSHTAIL POSSUM,HOBBS STREET,-35.2677296,149.1142776
10/21/2017 05:53:00 PM,BRUSHTAIL POSSUM,FLYNN DRIVE,-35.29434982,149.1267464
10/23/2017 09:17:00 PM,WOMBAT,MONARO HIGHWAY,-35.37825644,149.1700129
10/24/2017 02:57:00 PM,OTHER,ATHLLON DRIVE,-35.3971471,149.0725313
10/26/2017 08:12:00 PM,OTHER,MOUAT STREET,-35.2428931,149.1270462
11/04/2017 10:36:00 PM,OTHER,WILLIAM HOVELL DRIVE,-35.2506483,149.0275066
11/07/2017 11:39:00 PM,WOMBAT,POINT HUT ROAD,-35.45715448,149.0771923
11/26/2017 11:25:00 PM,WOMBAT,YARRA GLEN,-35.32454375,149.0874603
12/01/2017 04:53:00 AM,,SHERBROOKE STREET,-35.25732521,149.1434741
